source;target
Cross R.;Taylor P.
van Gerwen M.;Cross R.
Lewis J.;Taylor P.
Taylor P.;Anderson G.
van Gerwen M.;van Barneveld R.
van den Bergh D.;Cross R.
Lewis J.;Webster D.
Anderson G.;West S.
Taylor P.;Brown K.
Lewis J.;Richardson J.
Henderson J.;Cross R.
Suljovic M.;van den Bergh D.
Alcinas T.;Webster D.
van Gerwen M.;Price G.
Van der Voort V.;van Barneveld R.
Wright P.;Lewis J.
Munch K.;Alcinas T.
Norris A.;Richardson J.
Whitlock S.;Webster D.
van Barneveld R.;Anderson K.
Taylor P.;Pipe J.
Gurney D.;Henderson J.
West S.;Wattimena J.
Smith M.;Cross R.
Brown K.;Lerchbacher Z.
van Gerwen M.;Wilson J.
Anderson G.;Lim P.
Suljovic M.;Thornton R.
Dekker J.;van den Bergh D.
Van der Voort V.;Beaton S.
Price G.;White I.
Wright P.;Portela D.
Webster D.;Petersen D.
Huybrechts K.;Richardson J.
Reyes C.;Alcinas T.
Pipe J.;Smith B.
Whitlock S.;Schindler M.
Smith M.;Lennon S.
Zong X. C.;Smith B.
Lewis A.;Munch K.
van Barneveld R.;North R.
Henderson J.;Kantele M.
Oreshkin A.;Munch K.
Webster M.;Lim P.
Gurney D.;Huybrechts R.
Suljovic M.;Painter K.
Leung K. F.;Lim P.
White I.;Harris C.
Chisnall D.;Van der Voort V.
Wade J.;Brown K.
Bruguier W.;Harris C.
Clayton J.;Lewis J.
Anderson K.;Jacques P.
Norris A.;Viljanen K.
Neyens K.;Lewis J.
Anderson G.;Smith J.
Klaasen J.;Dekker J.
Cullen J.;Wattimena J.
Smith J.;Humphries L.
Thornton R.;Dolan B.
King M.;Lerchbacher Z.
van de Pas B.;West S.
Ljubic A.;Dolan B.
Cross R.;Asada S.
Taylor P.;Dobey C.
Bunting S.;van den Bergh D.
Asada S.;Mathers G.
Price G.;Evetts T.
van Gerwen M.;Kist C.
Wilson J.;Ratajski K.
Beaton S.;O'Connor W.
van Gerwen M.;Anderson G.
van Gerwen M.;van Barneveld R.
Anderson G.;Wright P.
van Barneveld R.;Taylor P.
van Gerwen M.;Gurney D.
Anderson G.;Chisnall D.
Wade J.;Wright P.
van Gerwen M.;Webster D.
Taylor P.;Huybrechts K.
Wright P.;White I.
Wade J.;Smith M.
Chisnall D.;Klaasen J.
Webster M.;Gurney D.
Lewis A.;van Barneveld R.
Anderson G.;van de Pas B.
Wright P.;Lewis J.
Klaasen J.;Dolan B.
Wade J.;Beaton S.
Huybrechts K.;Hopp M.
van Gerwen M.;Reyes C.
Taylor P.;Painter K.
van Barneveld R.;Norris A.
Chisnall D.;Dobey C.
Thornton R.;Gurney D.
Suljovic M.;Webster M.
Lewis A.;Cullen J.
Anderson G.;Gilding A.
Webster D.;Whitlock S.
van de Pas B.;Jenkins T.
Smith M.;King M.
White I.;Clayton J.
Huybrechts K.;Wilson J.
Chisnall D.;Rodriguez R.-J.
Van der Voort V.;Hopp M.
Klaasen J.;de Graaf J.
Thornton R.;Lerchbacher Z.
Wade J.;Huybrechts R.
Suljovic M.;Meulenkamp R.
Lerchbacher Z.;Stevenson S.
Whitlock S.;Horvat D.
van Barneveld R.;Green R.
Dolan B.;Kist C.
Koltsov B.;Horvat D.
Cullen J.;Cadby C.
Lewis A.;Caris M.
King M.;West S.
Qiang S.;Cadby C.
Taylor P.;Platt D.
Norris A.;Michael J.
Gurney D.;Wattimena J.
Bowles J.;Platt D.
White I.;Simm K.
Webster M.;Murnan J.
Pipe J.;Dobey C.
Simm K.;Ulang G.
van Gerwen M.;Viljanen K.
Bunting S.;Webster D.
Reyes C.;van den Bergh D.
Snook R.;Viljanen K.
van de Pas B.;Shah T. H.
Henderson J.;Gilding A.
Jenkins T.;Payne J.
Shah T. H.;Chino M.
Wright P.;Hendriks J.
Beaton S.;Petersen D.
Price G.;Clayton J.
Hendriks J.;Parry W.
Smith M.;Evans R.
Anderson G.;Frost M.
Lewis J.;McGowan M.
Caven J.;Painter K.
Lewis A.;Anderson G.
Anderson G.;Klaasen J.
van Barneveld R.;Lewis A.
Lewis A.;Wright P.
van Barneveld R.;Smith M.
Anderson G.;Wade J.
Norris A.;Klaasen J.
Taylor P.;Klaasen J.
Norris A.;Webster M.
Wright P.;Chisnall D.
van Gerwen M.;van Barneveld R.
Anderson G.;Van der Voort V.
Lewis A.;Suljovic M.
Wade J.;Caven J.
Smith M.;van de Pas B.
King M.;Klaasen J.
Taylor P.;Painter K.
Wright P.;Huybrechts R.
Lewis A.;Gilding A.
Pallett D.;Suljovic M.
Jenkins T.;Webster M.
Norris A.;Murnan J.
van Gerwen M.;Webster D.
Wade J.;Newton W.
van Barneveld R.;Bunting S.
Van der Voort V.;Anderson K.
van den Bergh D.;van de Pas B.
Smith M.;Beaton S.
Anderson G.;Gurney D.
Chisnall D.;Kist C.
Evans R.;Caven J.
Klaasen J.;Cullen J.
Lewis A.;Dekker J.
van de Pas B.;Hopp M.
Gilding A.;Price G.
Jenkins T.;Young D.
Chisnall D.;Rodriguez R.-J.
Newton W.;Reyes C.
Winstanley D.;Huybrechts R.
Wade J.;Michael J.
Smith M.;de Zwaan J.
Thornton R.;Norris A.
Scheffer W.;Michael J.
King M.;Oreshkin A.
van Barneveld R.;van Duijvenbode D.
Bunting S.;Artut J.
Oreshkin A.;Lim P.
Caven J.;Szabo R.
Suljovic M.;Wattimena J.
Hamilton A.;Murnan J.
Rasztovits M.;Szabo R.
Taylor P.;Ono K.
Van der Voort V.;Ryder L.
Whitlock S.;Evans R.
Ono K.;Tagarao A.
Painter K.;Viljanen K.
White I.;van den Bergh D.
Beaton S.;Kokiri K.
Viljanen K.;Groen S.
van Gerwen M.;Eidams R.
Huybrechts K.;Pallett D.
Dolan B.;Anderson K.
Gaweenuntawong T.;Eidams R.
Webster M.;McGowan M.
Pipe J.;Kist C.
Henderson J.;Webster D.
Qiang S.;McGowan M.
Anderson G.;Boulton A.
Wright P.;Brown K.
Lewis J.;Gurney D.
Boulton A.;Laursen P.
Anderson G.;Taylor P.
Taylor P.;van Barneveld R.
van Gerwen M.;Anderson G.
Bunting S.;van Barneveld R.
Taylor P.;Van der Voort V.
Wright P.;Anderson G.
van Gerwen M.;Thornton R.
Bunting S.;Smith M.
Taylor P.;Huybrechts K.
Lewis A.;van Barneveld R.
Winstanley D.;Van der Voort V.
Anderson G.;Reyes C.
Wright P.;Hamilton A.
van de Pas B.;Thornton R.
van Gerwen M.;Jenkins T.
Wade J.;Bunting S.
van Barneveld R.;Caven J.
Hopp M.;Van der Voort V.
Dolan B.;Smith M.
Lewis A.;Brown K.
Taylor P.;Webster M.
Webster D.;Winstanley D.
White I.;Huybrechts K.
Reyes C.;Painter K.
Hamilton A.;Anderson K.
Anderson G.;Klaasen J.
van Gerwen M.;Stein S.
Chisnall D.;van de Pas B.
Wright P.;Huybrechts R.
Jenkins T.;Ryder L.
Thornton R.;Baxter R.
Bunting S.;Marijanovic R.
Lewis A.;Pallett D.
King M.;Hopp M.
Wattimena J.;Marijanovic R.
Van der Voort V.;Henderson J.
Dolan B.;Arendse N.
van Barneveld R.;Rodriguez R.-J.
Smith M.;Suljovic M.
Arendse N.;Hon A.
Caven J.;Hogg J.
White I.;Michael J.
Wade J.;Lewis J.
Chisnall D.;de Vreede R.
Haavisto J.;Michael J.
Huybrechts K.;Mansell M.
Painter K.;Koltsov B.
Winstanley D.;Jones W.
Webster M.;Meulenkamp R.
Koltsov B.;Muramatsu H.
Nicholson P.;van de Pas B.
Anderson G.;Kirchner S.
Whitlock S.;Webster D.
Jenkins T.;Weber J.
McGrath M.;Kirchner S.
Beaton S.;Anderson K.
Baxter R.;Gurney D.
Thornton R.;Gilding A.
Pipe J.;Ryder L.
MacKenzie S.;Gurney D.
Smith A.;Huybrechts R.
Kellett S.;Stein S.
Taylor P.;Artut J.
Wright P.;Price G.
Viljanen K.;Stein S.
Hamilton A.;Richardson D.
Newton W.;Reyes C.
van Gerwen M.;Cullen J.
Klaasen J.;Kist C.
Perez C.;Reyes C.
Part J.;Brown K.
Wright P.;van Gerwen M.
van Gerwen M.;Lewis A.
Wright P.;Whitlock S.
Wade J.;Lewis A.
van Gerwen M.;Webster M.
White I.;Whitlock S.
Wright P.;Newton W.
van Gerwen M.;Anderson G.
Wade J.;Petersen D.
Lewis A.;King M.
Webster M.;van Barneveld R.
Smith M.;Wright P.
Whitlock S.;Painter K.
Burnett R.;White I.
Newton W.;Thornton R.
Pipe J.;Petersen D.
Lewis A.;Van der Voort V.
King M.;Evans R.
Wade J.;Smith A.
van Gerwen M.;McDine K.
Henderson J.;Webster M.
Newton W.;Part J.
Whitlock S.;Komula J.
Painter K.;Nicholson P.
Dolan B.;Anderson G.
Huybrechts K.;White I.
Thornton R.;Anderson B.
Hamilton A.;Burnett R.
Taylor P.;Smith M.
van Barneveld R.;Caven J.
Wright P.;Laursen P.
Painter K.;Seyler T.
Newton W.;Lam R.
Wade J.;Webster D.
Vos G.;Lam R.
Webster M.;Suljovic M.
Lewis A.;Smith D.
Smith M.;Hashimoto M.
Pipe J.;Monk A.
Hashimoto M.;Lim P.
Smith A.;Brown S.
Whitlock S.;Smith R.
van Gerwen M.;Lerchbacher Z.
Van der Voort V.;Clark M.
Lerchbacher Z.;Ward B.
Lloyd C.;Anderson B.
King M.;Young D.
Beaton S.;Petersen D.
Huybrechts K.;Huybrechts R.
Petersen D.;Latif Sapup M.
Baxter R.;Evans R.
Caven J.;Klaasen J.
Dolan B.;Osborne C.
van Barneveld R.;Lewis J.
Lindskjold D.;Osborne C.
Chisnall D.;Henderson J.
Nicholson P.;Kellett S.
Hamilton A.;Barbero J.
Anderson G.;Dudbridge M.
Thornton R.;Hopp M.
Barbero J.;Welge A.
White I.;Anderson K.
Jenkins T.;Laursen P.
Jones W.;McDine K.
McGarry C.;Laursen P.
Walsh M.;Komula J.
Burnett R.;Winstanley D.
Taylor P.;Szabo R.
Wright P.;Cullen J.
Szabo R.;Moss I.
Part J.;Michels M.
Taylor P.;van Gerwen M.
Taylor P.;van Barneveld R.
van Gerwen M.;Wade J.
Lewis A.;van Gerwen M.
Newton W.;Wade J.
Taylor P.;Hamilton A.
Whitlock S.;van Barneveld R.
Lewis A.;Painter K.
Anderson G.;van Barneveld R.
van Gerwen M.;Lloyd C.
Wade J.;Van der Voort V.
Whitlock S.;Chisnall D.
Newton W.;Walsh M.
Taylor P.;Thornton R.
Hamilton A.;Jenkins T.
van Gerwen M.;Wright P.
Wade J.;Beaton S.
Winstanley D.;Van der Voort V.
Pipe J.;Walsh M.
Lewis A.;Ovens D.
Whitlock S.;Osborne C.
Newton W.;Rand S.
van Barneveld R.;Dolan B.
Webster M.;Lloyd C.
Painter K.;Baxter R.
Taylor P.;Hendriks J.
Nicholson P.;Thornton R.
Jenkins T.;Part J.
Anderson G.;Bowles J.
Chisnall D.;Gurney D.
Hamilton A.;Burnett R.
van Gerwen M.;Lim P.
Van der Voort V.;Kellett S.
Huybrechts K.;Rand S.
Lim P.;Latif Sapup M.
Walsh M.;Webster D.
Whitlock S.;Muramatsu H.
Lloyd C.;Young D.
Baxter R.;Priestley D.
Muramatsu H.;Dave H.
Pipe J.;Jenkins A.
Osborne C.;Ilagan L.
King M.;Winstanley D.
Newton W.;Haines J.
Ilagan L.;Lewis J.
Beaton S.;Anderson K.
Caven J.;Bowles J.
Wade J.;Hudson P.
Webster M.;White I.
Rodriguez C.;Bowles J.
Wright P.;Monk A.
Anderson G.;Haavisto J.
van Barneveld R.;Smith M.
Hamilton A.;Richardson J.
Komula J.;Haavisto J.
Dolan B.;Jones M.
Ovens D.;Hopp M.
Taylor P.;Mansell M.
Part J.;Cullen J.
Hopp M.;Charl P.
Chisnall D.;Tichowitsch S.
Smith A.;Gurney D.
Jenkins T.;Brown S.
